key,kr,en,fr,es
agree,동의함,Agree,D'accord,Acepto
alarm,알람,Event alert,,
and,AND,AND,ET,Y
app_name,Wisenet Life,Wisenet Life,Wisenet Life,Wisenet Life
apply,적용,Apply,Appliquer,Aplicar
auto_login,자동 로그인,Auto Login,Connexion automatique,Inicio de sesión automático
camera_disconnect,,Camera disconnected,,
cancel,취소,Cancel,Annuler,Cancelar
capture,캡처,Capture,Capture,Capturar
channel,채널,channel,,
cloud,클라우드,Cloud,,
copyright,저작권,F,Droits d'auteur,Derechos de autor
date,날짜,Date,Date,Fecha
delete,,Delete,,
device,장치,Device,Périphérique,Dispositivo
email,이메일,E-mail,E-mail,Correo electrónico
end,끝,End,,
event,,Events,,
event_type_all,,All Events,,
find_id,,Find ID,,
fri,,F,,
live,라이브,Live,Direct,En vivo
login,로그인,Login,Identifiant,Iniciar sesión
mon,,M,,
name,이름,Camera Name,,
next,,Next,,
no,아니요,No,Non,No
off,,Off,,
offline,오프라인,Offline,,
ok,확인,OK,OK,Aceptar
on,,On,,
or,OR,OR,OU,O
password,비밀번호,Password,Mot de passe,Contraseña
ready,,Ready,,
sat,,S,,
send,보내기,Send,Envoyer,Enviar
start,시작,Start,,
sun,,S,,
thu,,T,,
time,시간,Hour,Heure,Hora
tue,,T,,
user_id,,User ID,,
user_name,이름,Name,Nom,Nombre
wed,,W,,
welcome,환영합니다. ,Welcome,,
yes,예,Yes,Oui,Sí
backkey_onemore_finish,한 번 더 누르면 종료됩니다.,Press again to end.,,
capture_fail,이미지 저장에 실패하였습니다.,Failed to save image.,,
capture_saved,이미지가 저장되었습니다.,Image saved.,,
change_password,비밀번호 변경,Change password,,
change_success,정보가 변경되었습니다.,The information has been changed.,L'information a été modifiée.,La información ha sido cambiada
cloud_channel_select,클라우드 채널 선택,Select cloud channel,,
confirm_password,비밀번호 확인,Confirm password,Confirmer le mot de passe,Confirmar contraseña
create_account_email_desc,유효한 이메일 주소를 입력하세요.,Please enter a valid email address.,,
create_account_service_desc,회원가입을 하려면 서비스 약관과 개인정보 수집 항목을 읽고 동의해 주세요.,Please read and accept the Terms of Service Use and Privacy Policy to join.,,
create_account_service_scroll_end,내용을 끝까지 확인 후 동의해 주세요.,"Please read the conditions in full, and then agree to the conditions.",,
create_account_title,회원 가입,Sign up,,
current_password,현재 비밀번호,Current Password,Mot de passe actuel,Contraseña actual
delete_account,정말 탈퇴 하시겠어요?,Are you sure to cancel your membership?,,
delete_account_desc,"정말 탈퇴 하시겠어요?\n\nWisenet Life 탈퇴 시 클라우드 서버에 저장된 회원 정보, 비디오 및 장치 설정 정보가 모두 삭제됩니다.","When you unsubscribe, all member information, videos, and device configuration information stored in the cloud server will be deleted.",,
delete_account_done,탈퇴하였습니다.,Cancel membership was successful.,,
delete_account_input_password,비밀번호를 입력하세요.,Please enter the current password.,,
device_alarm,장치 알람,Device Alarm,,
device_auto_login,장치 로그인 유지,Maintain the device login,,
device_current_version,현재 최신 버전입니다.,This is the latest firmware version,,
device_delete_caution,\n\n장치를 삭제하면 클라우드에 다시 연결하기 전까지 클라우드에 저장된 영상과 정보를 볼 수 없습니다.\n장치를 삭제하기 전에 미리 카메라 이벤트 목록에서 중요한 영상을 다운받으세요.,You will no longer have access to your stored contents if you delete the device. Please save all neccessary contents before. Your access to the contents will be restored when the device is reconnected to the cloud.,,
device_delete_desc,\'%s\'를 삭제하시겠어요?,Are you sure you want to delete 'xxx’?,,
device_delete_done,\'%s\'가 삭제되었습니다.,xxx' has been deleted.,,
device_delete_error,장치를 삭제할 수 없습니다.,Unable to delete device.,,
device_firmware,제품 펌웨어,Device Firmware,,
device_id,장치 ID,Device ID,,
device_info,장치 정보,Device Info,,
device_info_description,장치의 이름 및 클라우드에 이벤트 영상을 저장할 카메라를 설정 할 수 있습니다.,You can set the camera to store event videos in the name and cloud of the device.,,
device_list_no_device,장치를 등록하세요.,Register a product.,,
device_list_refresh_desc,서버로부터 목록을 가져오지 못했습니다.,Failed to get list from server.,,
device_list_editmode_desc, 를 선택하면 장치 내 채널의 위치를 변경할 수 있습니다.,"If you select xxx, you can change the location of the channel in the device.",,
device_nickname,닉네임,Nickname,,
device_password,장치 비밀번호,Device password,,
device_regist_info_title,2. 등록 정보입력,2. Entering Registration Info,,
device_regist_network,등록하기 전에 장치가 네트워크에 연결되어 있는지 확인하세요.,"Before registering, make sure that the device is connected to the network.",,
device_regist_next,QR코드 인식 불가능 시\n다음 화면에서 직접 입력해 주세요.,"If the QR code is not recognized, \nplease input it directly in the following screen.",,
device_regist_nickname_guide,장치 이름을 설정하세요.\n예: 우리집,Please create a name for your device. (e.g. living room),,
device_regist_password_guide,장치의 관리자(admin) 비밀번호를 입력해 주세요.,Enter the password of the device.,,
device_regist_qr_desc,장치 상단의 QR코드를 화면에 비추면 자동으로 인식합니다.,Please place the QR code within a rectangular area. It will automatically recognize it.,,
device_regist_qr_error,등록이 실패하였습니다.\nQR코드 아래의 ID를 확인한 후 다시 입력하세요.,Failed to register the device. Check the ID below the QR code and enter it again.,,
device_regist_qr_id,QR코드 ID,QR code ID,,
device_regist_qr_id_guide,"QR코드를 인식할 수 없다면, QR코드 아래의 ID를 입력하세요.","If the QR code is not recognized, please enter the ID below the QR code.",,
device_regist_qr_title,1. 등록하기,Registration,,
device_setup_auto_login,장치 자동 로그인,Device Auto login,,
device_setup_change_nickname,변경 사항을 적용하시겠어요?,Would you like to apply the changes?                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,,
device_setup_change_nickname_fail,실패\n변경 사항을 적용하지 못했습니다.,Failed\nThe change could not be applied.,,
device_setup_firmware_version,펌웨어 버전,Firmware Version,,
device_setup_name_title,이름 변경,Rename,,
device_setup_title,장치 설정,Setup,,
device_update,최신 버전으로 업데이트 하세요.,Please update to the latest version.,,
disagree,,Don‘t agree,,
do_logout,로그아웃 하시겠어요?,Are you sure you want to log out?,,
do_not_show_again,,Do not show again,,
duplication_multi_login,다른 기기에서 동일 계정으로 접속되어 로그아웃 됩니다.,Another user logged into the account. ,,
email_auth_again,이메일을 받지 못했다면 [이메일 다시 받기]를 선택하세요.,"If you did not receive the e-mail, click [Send e-mail again].",,
email_auth_desc,이메일에 있는 [Verify e-mail address]를 클릭하여 인증하세요.,Click [Verify e-mail address] in the e-mail to verify your e-mail address.,,
email_auth_login,"이메일 인증을 완료했다면, 아래 버튼을 눌러 Wisenet Life를 시작하세요.","If you completed the e-mail verification process, press the button below to start Wisenet Life.",,
email_auth_fail,이메일 인증을 하지 못했습니다.,E-mail verification failed.,,
email_auth_fail_desc,(으)로 보낸 이메일을 확인한 후 [Verify e-mail address]를 클릭하여 인증하세요.,"Check your e-mail sent to xxx@xxx.com, and click [Verify e-mail address] to verify. ",,
email_auth_resend,이메일 다시 받기,Send e-mail again,,
email_auth_send,(으)로 인증 이메일을 보냈습니다.,You have sent a verification e-mail to xxx@xxx.com.,,
email_auth_send_error,이메일을 보내지 못했습니다.\n다시 시도해 주세요.,E-mail was not sent successfully.\nPlease try again.,,
email_auth_time,6시간 이내에 인증하지 않으면 자동 취소됩니다.,"If you do not verify your e-mail address within 6 hours, it will be automatically cancelled.",,
email_auth_title,이메일 주소 인증 요청,Request e-mail verification,,
empty_text,,,,
error_account_lock,비밀번호를 5회 연속으로 잘못 입력하였습니다.\n%s초 후에 다시 로그인하세요.,5 login attempts with incorrect password. Please wait 30 sec. and try again.,,
error_device,"장치 연결 상태를 확인 후, 다시 시도해 주세요.",Check the device connection and try again.,,
